dataset,outcome,method,feature,n_users,coef_mean,coef_sd,r2_mean,n_keysets,coef_sign,abs_coef_mean
sam,centered,tifuknn,repeat_rate,3678.0,0.03294562470354443,0.006326295364555281,0.06305268388337155,3,positive,0.03294562470354443
sam,centered,frequency,repeat_rate,3678.0,0.02711557054162873,0.00297844634386862,0.07217947071327309,3,positive,0.02711557054162873
sam,centered,diffrec,recent_basket_novelty,3678.0,0.025441160844096432,0.004305547021141979,0.3021003334399788,3,positive,0.025441160844096432
sam,centered,dnntsp,n_baskets,3678.0,-0.02229233586282083,0.003929430411037279,0.03327995534247415,3,negative,0.02229233586282083
sam,centered,diffrec,avg_basket_size,3678.0,0.02072294264567184,0.0022339261214117234,0.3021003334399788,3,positive,0.02072294264567184
sam,centered,fpmc,transition_strength,3678.0,0.019375593315128854,0.004514666044280913,0.06780764513463189,3,positive,0.019375593315128854
sam,centered,dnntsp,recent_basket_novelty,3678.0,0.019275744547226307,0.008218493257927385,0.03327995534247415,3,positive,0.019275744547226307
sam,centered,fpmc,relational_strength,3678.0,-0.01926535982236192,0.005233502354475101,0.06780764513463189,3,negative,0.01926535982236192
sam,centered,diffrec,transition_strength,3678.0,-0.019088905705675112,0.011843821329220901,0.3021003334399788,3,negative,0.019088905705675112
sam,centered,fpmc,recent_basket_novelty,3678.0,0.019044743176592913,0.008399896022645775,0.06780764513463189,3,positive,0.019044743176592913
sam,centered,triple2vec,neighbor_similarity,3678.0,-0.018957054575901078,0.0028602161088854463,0.07120148539572135,3,negative,0.018957054575901078
sam,centered,diffrec,relational_strength,3678.0,0.018487169670289298,0.006892304729716417,0.3021003334399788,3,positive,0.018487169670289298
sam,centered,fpmc,adjacent_basket_jaccard,3678.0,0.01840262646536517,0.015706172264064847,0.06780764513463189,3,positive,0.01840262646536517
sam,centered,cbp,neighbor_similarity,3678.0,-0.01778038411143593,0.003344701765434841,0.0670183283168196,3,negative,0.01778038411143593
sam,centered,recency,avg_basket_size,3678.0,-0.015505908569815033,0.0023251630920267967,0.11146275527865264,3,negative,0.015505908569815033
sam,centered,tifuknn,n_baskets,3678.0,-0.014912265274714806,0.0008506328440769112,0.06305268388337155,3,negative,0.014912265274714806
sam,centered,frequency,neighbor_similarity,3678.0,-0.014840581843068523,0.0014444901248446683,0.07217947071327309,3,negative,0.014840581843068523
