dataset,feature,min_baskets,method,n_users_slice,n_users_feature,rho_raw_mean,rho_raw_sd,rho_centered_mean,rho_centered_sd,n_keysets,rho_centered_sign
sam,transition_strength,3,triple2vec,2664.3333333333335,2664.3333333333335,-0.10270795806849686,0.014294918335095094,-0.0013157252413328671,0.004183209709364774,3,mixed
sam,transition_strength,5,cbp,1643.6666666666667,1643.6666666666667,-0.03692602530366298,0.024698966015399143,0.026931121315307515,0.02073688604584845,3,positive
sam,transition_strength,5,diffrec,1643.6666666666667,1643.6666666666667,-0.08268712387686757,0.04315312679933986,-0.09073281096102291,0.037964335560265086,3,negative
sam,transition_strength,5,dnntsp,1643.6666666666667,1643.6666666666667,-0.015854844376699314,0.013720174947666447,-0.013982555073323693,0.04409304594158864,3,mixed
sam,transition_strength,5,fpmc,1643.6666666666667,1643.6666666666667,-0.049533612657430136,0.04894473049888625,-0.08311706296743195,0.021401270418692327,3,negative
sam,transition_strength,5,frequency,1643.6666666666667,1643.6666666666667,-0.03675723537676366,0.021052447035981466,0.030890016412159552,0.01411622805270352,3,positive
sam,transition_strength,5,recency,1643.6666666666667,1643.6666666666667,-0.056331317095729194,0.024154957986952105,-0.06487055513293932,0.017449231179212578,3,negative
sam,transition_strength,5,tifuknn,1643.6666666666667,1643.6666666666667,-0.02917046209507504,0.01961288368715004,0.03722869859646993,0.022011813662926163,3,positive
sam,transition_strength,5,triple2vec,1643.6666666666667,1643.6666666666667,-0.027532684946952813,0.017997775627486223,0.050707464685585436,0.018811848673328333,3,positive
tafeng,relational_strength,2,cbp,2805.3333333333335,2805.3333333333335,0.01982739084383213,0.01865343617664029,-0.0034877942879177246,0.025821724439131687,3,mixed
tafeng,relational_strength,2,diffrec,2805.3333333333335,2805.3333333333335,-1.709988690042537e-05,0.027608582291718003,-0.02820534211013519,0.03021159720971116,3,mixed
tafeng,relational_strength,2,dnntsp,2805.3333333333335,2805.3333333333335,0.028936530519802512,0.01398603745063579,0.015766299766289533,0.02318789873160058,3,mixed
tafeng,relational_strength,2,fpmc,2805.3333333333335,2805.3333333333335,0.00729908063518156,0.021383417082183862,-0.015200924541815597,0.0208826980903564,3,mixed
tafeng,relational_strength,2,frequency,2805.3333333333335,2805.3333333333335,-0.005132647926864673,0.015218545497295507,-0.035244564862225734,0.00884417645568483,3,negative
tafeng,relational_strength,2,recency,2805.3333333333335,2805.3333333333335,0.007759044486576917,0.031159331571910837,-0.012048314585902303,0.030775181405932217,3,mixed
tafeng,relational_strength,2,tifuknn,2805.3333333333335,2805.3333333333335,0.019068723516121922,0.02024662416321315,0.003991973255472965,0.028007506742467478,3,mixed
tafeng,relational_strength,2,triple2vec,2805.3333333333335,2805.3333333333335,-0.0031129319328297884,0.015268915853785373,-0.03404108042075427,0.005042223631566626,3,negative
tafeng,relational_strength,3,cbp,2039.6666666666667,2039.6666666666667,0.037586721534177865,0.02297212517219652,0.008017161147782224,0.03757504658301155,3,mixed
tafeng,relational_strength,3,diffrec,2039.6666666666667,2039.6666666666667,0.019079677514421464,0.03476092623248948,-0.014561989482143739,0.0388030872401569,3,mixed
tafeng,relational_strength,3,dnntsp,2039.6666666666667,2039.6666666666667,0.04189537125694432,0.013115330996218394,0.02259795567355113,0.01868965355056072,3,positive
tafeng,relational_strength,3,fpmc,2039.6666666666667,2039.6666666666667,0.02775647930640591,0.022127714902049823,0.00010327905215382303,0.0162382789605809,3,mixed
tafeng,relational_strength,3,frequency,2039.6666666666667,2039.6666666666667,0.008327771348867597,0.02580655943019844,-0.026147363051038444,0.02257808572796575,3,negative
tafeng,relational_strength,3,recency,2039.6666666666667,2039.6666666666667,0.007060291048768021,0.02293033253005823,-0.02637745377231333,0.028293848356633084,3,negative
